fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
125,person,0.794,6,121,247,217,475,,0.0,0,0,0,0,
125,car,0.483,9,1241,315,1289,347,,0.0,0,0,0,0,
126,bus,0.659,1,1289,239,1419,372,MATRICULA,0.484,1588,379,1634,392,MATRICULA
126,car,0.744,5,1421,322,1516,381,,0.0,0,0,0,0,
126,person,0.81,6,125,242,221,475,,0.0,0,0,0,0,
126,car,0.448,9,1241,315,1289,347,,0.0,0,0,0,0,
127,bus,0.716,1,1289,239,1418,371,MATRICULA,0.484,1588,379,1634,392,MATRICULA
127,car,0.742,5,1422,322,1516,382,,0.0,0,0,0,0,
127,person,0.807,6,130,238,223,475,,0.0,0,0,0,0,
127,car,0.452,9,1240,315,1289,347,,0.0,0,0,0,0,
128,bus,0.749,1,1288,241,1416,371,MATRICULA,0.484,1588,379,1634,392,MATRICULA
128,car,0.736,5,1427,321,1516,381,,0.0,0,0,0,0,
128,person,0.78,6,141,244,226,474,,0.0,0,0,0,0,
128,car,0.453,9,1241,315,1288,346,,0.0,0,0,0,0,
128,car,0.451,14,1405,321,1464,376,,0.0,0,0,0,0,
129,bus,0.709,1,1288,241,1416,370,MATRICULA,0.484,1588,379,1634,392,MATRICULA
129,car,0.718,5,1431,321,1516,381,,0.0,0,0,0,0,
129,person,0.755,6,148,245,229,472,,0.0,0,0,0,0,
129,car,0.483,14,1402,321,1458,375,,0.0,0,0,0,0,
130,bus,0.7,1,1287,242,1415,369,MATRICULA,0.484,1588,379,1634,392,MATRICULA
130,car,0.715,5,1432,321,1516,381,,0.0,0,0,0,0,
130,person,0.792,6,156,244,233,471,,0.0,0,0,0,0,
130,car,0.495,14,1402,322,1458,376,,0.0,0,0,0,0,
131,bus,0.711,1,1287,241,1413,369,MATRICULA,0.484,1588,379,1634,392,MATRICULA
131,car,0.716,5,1430,321,1515,381,,0.0,0,0,0,0,
131,person,0.829,6,161,247,239,470,,0.0,0,0,0,0,
131,car,0.475,14,1402,322,1459,375,,0.0,0,0,0,0,
131,truck,0.464,15,1286,240,1413,370,,0.0,0,0,0,0,
131,car,0.418,9,1243,314,1285,345,,0.0,0,0,0,0,
