fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
71,car,0.473,2,1288,320,1323,354,,0.0,0,0,0,0,
72,bus,0.918,1,1321,208,1522,394,,0.0,0,0,0,0,
72,car,0.559,2,1287,319,1323,354,,0.0,0,0,0,0,
73,bus,0.918,1,1321,209,1519,393,,0.0,0,0,0,0,
73,car,0.617,2,1286,319,1323,354,,0.0,0,0,0,0,
74,bus,0.918,1,1319,210,1517,393,,0.0,0,0,0,0,
74,car,0.619,2,1285,319,1323,354,,0.0,0,0,0,0,
75,bus,0.92,1,1318,210,1514,393,,0.0,0,0,0,0,
75,car,0.629,2,1285,318,1322,354,,0.0,0,0,0,0,
76,bus,0.913,1,1317,211,1513,392,,0.0,0,0,0,0,
76,car,0.634,2,1284,317,1321,354,,0.0,0,0,0,0,
77,bus,0.9,1,1317,212,1509,392,,0.0,0,0,0,0,
77,car,0.629,2,1284,316,1320,354,,0.0,0,0,0,0,
78,bus,0.906,1,1316,212,1505,391,,0.0,0,0,0,0,
78,car,0.638,2,1285,316,1319,353,,0.0,0,0,0,0,
79,bus,0.888,1,1314,213,1504,390,,0.0,0,0,0,0,
79,car,0.607,2,1285,315,1319,352,,0.0,0,0,0,0,
80,bus,0.89,1,1313,214,1504,389,,0.0,0,0,0,0,
80,car,0.603,2,1285,315,1319,353,,0.0,0,0,0,0,
81,bus,0.87,1,1314,215,1500,388,,0.0,0,0,0,0,
81,car,0.642,2,1284,315,1318,353,,0.0,0,0,0,0,
82,bus,0.875,1,1313,215,1499,387,,0.0,0,0,0,0,
82,car,0.619,2,1284,315,1317,353,,0.0,0,0,0,0,
83,bus,0.884,1,1312,215,1497,387,,0.0,0,0,0,0,
83,car,0.588,2,1284,315,1316,353,,0.0,0,0,0,0,
84,bus,0.867,1,1311,216,1493,387,,0.0,0,0,0,0,
84,car,0.604,2,1284,314,1316,352,,0.0,0,0,0,0,
85,bus,0.881,1,1312,217,1491,386,,0.0,0,0,0,0,
85,car,0.64,2,1283,314,1316,352,,0.0,0,0,0,0,
86,bus,0.884,1,1312,218,1491,386,,0.0,0,0,0,0,
86,car,0.619,2,1281,315,1316,352,,0.0,0,0,0,0,
87,bus,0.9,1,1311,218,1486,386,,0.0,0,0,0,0,
87,car,0.658,2,1281,315,1316,351,,0.0,0,0,0,0,
88,bus,0.897,1,1310,218,1481,385,,0.0,0,0,0,0,
88,car,0.644,2,1281,314,1315,351,,0.0,0,0,0,0,
88,car,0.516,10,1466,322,1519,384,,0.0,0,0,0,0,
89,bus,0.896,1,1310,219,1479,384,,0.0,0,0,0,0,
89,car,0.693,2,1280,314,1314,352,,0.0,0,0,0,0,
89,car,0.66,10,1464,322,1519,384,,0.0,0,0,0,0,
90,bus,0.882,1,1310,220,1476,383,,0.0,0,0,0,0,
90,car,0.664,2,1279,314,1314,352,,0.0,0,0,0,0,
90,car,0.749,10,1458,321,1519,384,,0.0,0,0,0,0,
91,bus,0.882,1,1311,221,1474,384,,0.0,0,0,0,0,
91,car,0.653,2,1279,315,1314,353,,0.0,0,0,0,0,
91,car,0.722,10,1461,321,1519,385,,0.0,0,0,0,0,
92,bus,0.88,1,1311,220,1473,384,,0.0,0,0,0,0,
92,car,0.66,2,1278,315,1312,353,,0.0,0,0,0,0,
92,car,0.714,10,1461,322,1518,385,,0.0,0,0,0,0,
93,bus,0.849,1,1309,221,1470,384,,0.0,0,0,0,0,
93,car,0.642,2,1276,315,1311,352,,0.0,0,0,0,0,
93,car,0.652,10,1456,321,1518,385,,0.0,0,0,0,0,
94,bus,0.765,1,1308,223,1467,384,,0.0,0,0,0,0,
94,car,0.511,2,1275,313,1310,352,,0.0,0,0,0,0,
94,car,0.572,10,1454,321,1518,385,,0.0,0,0,0,0,
95,bus,0.825,1,1307,224,1465,383,,0.0,0,0,0,0,
95,car,0.473,2,1275,313,1309,351,,0.0,0,0,0,0,
95,car,0.686,10,1448,321,1518,385,,0.0,0,0,0,0,
95,person,0.805,11,0,231,52,488,,0.0,0,0,0,0,
96,bus,0.714,1,1307,224,1464,383,,0.0,0,0,0,0,
96,car,0.431,2,1273,311,1309,351,,0.0,0,0,0,0,
96,car,0.663,10,1446,321,1518,385,,0.0,0,0,0,0,
96,person,0.834,11,0,231,60,489,,0.0,0,0,0,0,
97,bus,0.712,1,1308,225,1463,383,,0.0,0,0,0,0,
97,car,0.504,2,1272,311,1309,352,,0.0,0,0,0,0,
97,car,0.667,10,1444,321,1519,384,,0.0,0,0,0,0,
97,person,0.868,11,0,233,68,490,,0.0,0,0,0,0,
98,bus,0.8,1,1308,226,1461,383,,0.0,0,0,0,0,
98,car,0.427,2,1272,310,1309,352,,0.0,0,0,0,0,
98,car,0.652,10,1442,321,1519,384,,0.0,0,0,0,0,
98,person,0.886,11,0,233,73,490,,0.0,0,0,0,0,
99,bus,0.748,1,1308,227,1459,382,,0.0,0,0,0,0,
99,car,0.412,2,1272,309,1309,352,,0.0,0,0,0,0,
99,car,0.639,10,1442,320,1518,384,,0.0,0,0,0,0,
